Timestamp;wind_speed;wind_direction;air_temperature;global_radiation;controlpump;t_int_pu600;t_ext_pu600;u_rv660;u_rv640;u_rv600;volume.pu600;;;
12.08.2024 16:00;1.01242697;170.00000000;39.22031784;20.96666700;1;52.55163193;53.78439713;0;0;0;5.62076378;;;
12.08.2024 16:10;1.05068445;170.00000000;39.01420212;19.46666700;1;52.67389297;53.93999481;0;0;0;5.61427116;;;
12.08.2024 16:20;0.98296732;150.00000000;38.82839203;20.13333300;1;52.70419312;53.93999481;0;0;0;5.61667442;;;
12.08.2024 16:30;1.98268569;150.00000000;37.90581894;18.36666700;1;52.55430222;53.62371445;0;0;0;5.60902119;;;
12.08.2024 16:40;0.97168195;150.00000000;37.96908951;16.26666700;1;52.49032593;53.54000092;0;0;0;5.60758162;;;
12.08.2024 16:50;0.54212719;130.00000000;38.53697586;14.43333300;1;52.42958450;53.54000092;0;0;0;5.60165215;;;
12.08.2024 17:00;0.15038390;120.00000000;38.71023941;13.16666700;1;52.29285049;53.42011261;0;0;0;5.60663652;;;
12.08.2024 17:10;1.62546813;120.00000000;38.63010025;11.56666700;1;52.07288742;53.14998627;0;0;0;5.59999990;;;
12.08.2024 17:20;0.24641666;120.00000000;38.87923813;10.23333300;1;51.78621674;52.82184982;0;0;0;5.58839321;;;
12.08.2024 17:30;0.78178549;130.00000000;39.94952011;8.63333300;1;51.52853775;52.67017746;0;0;0;5.56087351;;;
12.08.2024 17:40;0.91896534;140.00000000;40.42012787;7.13333300;1;51.21239471;52.25302505;0;0;0;5.53498220;;;
12.08.2024 17:50;0.41005215;130.00000000;40.41962433;5.63333300;1;50.77705383;51.83971024;0;0;0;5.50466919;;;
12.08.2024 18:00;0.04329912;130.00000000;41.19658661;4.16666700;1;50.32946396;51.36583710;0;0;0;5.50304699;;;
12.08.2024 18:10;0.58559608;130.00000000;41.55597305;2.90000000;1;49.86605072;50.92322922;0;0;0;5.49621153;;;
12.08.2024 18:20;0.15689754;140.00000000;40.62157822;1.83333300;1;49.29949570;50.25478363;0;0;0;5.43265057;;;
12.08.2024 18:30;0.84169900;130.00000000;39.43964005;0.96666700;1;48.61461258;49.67552185;0;0;0;5.40329599;;;
12.08.2024 18:40;0.27148181;130.00000000;40.13183594;0.56666700;1;48.08742905;49.08348465;0;0;0;5.39479971;;;
12.08.2024 18:50;0.49849111;130.00000000;39.04067993;0.26666700;1;47.44983292;48.50096130;0;0;0;5.36780548;;;
